bug_id,description_stemmed,Severity,Severity_category
28919,find except pleas add new make prioriti pleas includ program reproduc except bad non abstract nonabstract method code privat nativ int nativ messag pump initi nativemessagepumpiniti public class plc comm pvi pvi com pvicom link event handler impl linkeventhandlerimpl bad non abstract nonabstract method code privat nativ int nativ messag pump initi nativemessagepumpiniti public class plc comm pvi pvi com pvicom link event handler impl linkeventhandlerimpl java lang runtim except runtimeexcept bad non abstract nonabstract method code privat nativ int nativ messag pump initi nativemessagepumpiniti public class plc comm pvi pvi com pvicom link event handler impl linkeventhandlerimpl aspectj weaver bcel lazi method gen lazymethodgen init unknown sourc aspectj weaver bcel lazi class gen lazyclassgen init unknown sourc aspectj weaver bcel bcel object type bcelobjecttyp get lazi class gen getlazyclassgen unknown sourc aspectj weaver bcel bcel weaver bcelweav weav unknown sourc aspectj weaver bcel bcel weaver bcelweav weav unknown sourc aspectj ajdt intern core builder aj build manag ajbuildmanag weav and gener class file weaveandgenerateclassfil unknown sourc aspectj ajdt intern core builder aj build manag ajbuildmanag batch build batchbuild unknown sourc aspectj ajdt ajc ajdt command ajdtcommand run command runcommand unknown sourc aspectj tool ajc main run unknown sourc aspectj tool ajc main run main runmain unknown sourc aspectj tool ajc main main unknown sourc,critical,severe
28974,aspect fail compil 1b2 produc compil error ajc ibm amc java ibm amc ejb java runtim workspac ajsampl runtimeworkspaceajsampl mock ejb ibm amc demo bean demobeanejb java cannot assign valu final field ibm amc demo bean demobean ajc inter field interfield co ibm amc verbos sourc inform avail error packag ibm amc import ibm amc ejb session bean sessionbean author colyer chang gener comment edit templat variabl typecom window prefer java templat enabl disabl creation type comment go window prefer java code gener public aspect demo bean demobeanejb declar parent demo bean demobean implement session bean sessionbean next line culprit static final boolean demo bean demobean verbos true privat transient string demo bean demobean ctx public void demo bean demobean ejb activ ejbactiv verbos system println ejb activ ejbactiv call make inter type intertyp declar non final nonfin solv problem,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29186,,normal,non-severe
29665,use aspect j1 aspectj1 1b4 run follow program crash messag inconsist stack height reduc origin program minimum exampl stack height guess relat didn reproduc mail need mport java lang reflect method public class stack error stackerror public static void main string arg void assert true asserttru string msg boolean public void test equal null testequalsnul stack error stackerror one new stack error stackerror stack error stackerror two new stack error stackerror assert true asserttru equal one equal two work boolean ye one equal two work public boolean equal object return true aspect equal contract equalscontract pointcut equal call equalscal object thi one thison object other one otheron target object target thi one thison call public boolean equal object arg other one otheron within equal contract equalscontract boolean around object thi one thison object other one otheron equal call equalscal thi one thison other one otheron boolean result proceed thi one thison other one otheron class cl thi one thison get class getclass string name cl get name getnam boolean ha hash code hashashcod fals tri method cl get declar method getdeclaredmethod hash code hashcod null string look for lookfor public int name hash code hashcod ha hash code hashashcod look for lookfor equal to string tostr catch no such method except nosuchmethodexcept nsme return result program crash comment line indic work comment note line comment work work,normal,non-severe
29665,use aspect j1 aspectj1 1b4 run follow program crash messag inconsist stack height reduc origin program minimum exampl stack height guess relat didn reproduc mail need mport java lang reflect method public class stack error stackerror public static void main string arg void assert true asserttru string msg boolean public void test equal null testequalsnul stack error stackerror one new stack error stackerror stack error stackerror two new stack error stackerror assert true asserttru equal one equal two work boolean ye one equal two work public boolean equal object return true aspect equal contract equalscontract pointcut equal call equalscal object thi one thison object other one otheron target object target thi one thison call public boolean equal object arg other one otheron within equal contract equalscontract boolean around object thi one thison object other one otheron equal call equalscal thi one thison other one otheron boolean result proceed thi one thison other one otheron class cl thi one thison get class getclass string name cl get name getnam boolean ha hash code hashashcod fals tri method cl get declar method getdeclaredmethod hash code hashcod null string look for lookfor public int name hash code hashcod ha hash code hashashcod look for lookfor equal to string tostr catch no such method except nosuchmethodexcept nsme return result program crash comment line indic work comment note line comment work work,normal,non-severe
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
